Des'n  AbsMag  G    Epoch M         Perihelion      Node       Incl.  e          n            a          U Reference #Obs  #Opp    Arc    rms  Perts
00048    7.12  0.15 K25BL 141.74525  251.35542  183.42798    6.55777  0.0662636  0.17945784   3.1128708  0 MPO937415  4323  95 1860-2025 0.77 M-v 3Ek 0000 Doris
00049    7.99  0.15 K25BL 312.95967  113.45244  284.98696    3.20165  0.2214743  0.18074605   3.0980625  0 E2025-V34  9046  85 1863-2025 0.57 M-v 3Ek 0000 Pales
00050    9.43  0.15 K25BL 346.61847  200.08211  173.44805    2.83914  0.2845556  0.22832852   2.6511193  0 E2025-V57  8013  72 1857-2025 0.58 M-v 3Ek 0000 Virginia
00051    7.73  0.15 K25BL  26.54936    2.28194  175.87969    9.97295  0.0659272  0.27089841   2.3655479  0 MPO950947 11368  92 1863-2025 0.56 M-v 3Ek 0000 Nemausa
00052    6.65  0.15 K25BL 312.52763  342.95841  128.57908    7.48092  0.1120016  0.18126089   3.0921934  0 E2025-UR3 10816  91 1860-2025 0.46 M-v 3Ek 0000 Europa
00053    8.89  0.15 K25BL 261.11414  314.39066  143.43434    5.18194  0.2029884  0.23259785   2.6185784  0 E2025-V57  6543  76 1866-2025 0.64 M-v 3Ek 0000 Kalypso
00054    7.95  0.15 K25BL 186.82265  346.19149  313.01276   11.83053  0.1983043  0.22061306   2.7125759  0 E2025-V50  9789  65 1863-2025 0.52 M-v 3Ek 0000 Alexandra
00055    7.84  0.15 K25BL 157.53435    4.93255   10.28385    7.17648  0.1450626  0.21520292   2.7578498  0 MPO925791  5503  71 1863-2025 0.71 M-v 3Ek 0000 Pandora
00056    8.53  0.15 K25BL  92.04587  104.91602  192.93181    8.08103  0.2368788  0.23551146   2.5969366  0 E2025-V34  5498  71 1865-2025 0.68 M-v 3Ek 0000 Melete
00057    6.94  0.15 K25BL 205.17127  210.98859  198.89334   15.23097  0.1080406  0.17580927   3.1557907  0 MPO950947  4205  96 1859-2025 0.75 M-v 3Ek 0000 Mnemosyne
00058    9.02  0.15 K25BL 108.49863   33.86210  161.04750    5.07216  0.0456968  0.22217516   2.6998464  0 E2025-V38  6976  77 1864-2025 0.66 M-v 3Ek 0000 Concordia
00059    8.09  0.15 K25BL 328.28847  211.14204  169.90896    8.64828  0.1166274  0.22048119   2.7136575  0 E2025-V57  6636  81 1865-2025 0.61 M-v 3Ek 0000 Elpis
00060    8.64  0.15 K25BL 128.08914  270.85837  191.52297    3.60020  0.1844562  0.26630203   2.3926898  0 MPO937415  7121  75 1861-2025 0.59 M-v 3Ek 0000 Echo
00061    7.74  0.15 K25BL  10.40468   12.88873  333.54323   18.20590  0.1637877  0.19112976   2.9848133  0 E2025-V34  8227  74 1865-2025 0.51 M-v 3Ek 0000 Danae
00062    8.90  0.15 K25BL 305.54951  277.75998  125.10194    2.23695  0.1679735  0.17802442   3.1295579  0 E2025-V38 10268  79 1906-2025 0.55 M-v 3Ek 0000 Erato
00063    7.13  0.15 K25BL  58.10810  295.62150  337.68318    5.77335  0.1281571  0.26598691   2.3945792  0 E2025-V34  6628  79 1861-2025 0.54 M-v 3Ek 0000 Ausonia
00064    7.72  0.15 K25BL 214.91144  181.06698  308.95613    1.30582  0.1265500  0.22453146   2.6809245  0 E2025-V57  5625  80 1861-2025 0.67 M-v 3Ek 0000 Angelina
00065    6.83  0.15 K25BL 272.63269  104.13943  155.09879    3.56495  0.1277298  0.15668171   3.4076673  0 E2025-V34  5538  98 1861-2025 0.70 M-v 3Ek 0000 Cybele
00066    9.48  0.15 K25BL 209.25291   43.46594    7.47739    3.04320  0.1720756  0.22889123   2.6467725  0 MPO950948  5332  69 1861-2025 0.69 M-v 3Ek 0000 Maja
00067    8.38  0.15 K25BL 185.51063  107.59208  202.25011    6.02442  0.1857143  0.26144832   2.4222119  0 E2025-V38  9476  68 1864-2025 0.52 M-v 3Ek 0000 Asia
00068    6.90  0.15 K25BL  50.65926  304.89421   44.04868    7.96052  0.1843409  0.21231959   2.7827616  0 E2025-UR3 14628  91 1861-2025 0.38 M-v 3Ek 0000 Leto
00069    7.21  0.15 K25BL  42.79758  288.15032  184.89404    8.58563  0.1689530  0.19187717   2.9770572  0 MPO950948  4201  82 1861-2025 0.73 M-v 3Ek 0000 Hesperia
00070    8.17  0.15 K25BL 269.56600  255.44756   47.63785   11.59683  0.1830438  0.23327312   2.6135226  0 MPO950948  6436  68 1861-2025 0.62 M-v 3Ek 0000 Panopaea
00071    7.24  0.15 K25BL  61.17488  267.03466  315.90604   23.24410  0.1770227  0.21557815   2.7546487  0 E2025-V46  4046  69 1864-2025 0.69 M-v 3Ek 0000 Niobe
00072    9.06  0.15 K25BL 340.30242  102.71352  207.93096    5.41780  0.1214011  0.28891174   2.2661705  0 MPO950948  6565  67 1865-2025 0.64 M-v 3Ek 0000 Feronia
00073    9.06  0.15 K25BL 336.11786   56.77244    6.82960    2.36966  0.0422874  0.22669522   2.6638380  0 E2025-V50  6684  61 1864-2025 0.62 M-v 3Ek 0000 Klytia
00074    8.92  0.15 K25BL  64.23604  174.99661  197.07419    4.07078  0.2367976  0.21238192   2.7822171  0 E2025-V50  8995  69 1864-2025 0.58 M-v 3Ek 0000 Galatea
00075    9.23  0.15 K25BL 142.41816  339.65161  359.12644    4.99402  0.3053352  0.22553892   2.6729349  0 E2025-V50 10188  70 1864-2025 0.55 M-v 3Ek 0000 Eurydike
00076    8.01  0.15 K25BL 299.46914  252.23875  204.26996    2.12352  0.1676536  0.15661450   3.4086421  0 E2025-V50  6673  84 1864-2025 0.68 M-v 3Ek 0000 Freia
00077    8.59  0.15 K25BL 106.83779   61.12448    1.04869    2.42120  0.1335425  0.22623616   2.6674402  0 MPO950948  4843  71 1879-2025 0.79 M-v 3Ek 0000 Frigga
00078    8.30  0.15 K25BL 155.05893  153.28498  333.28676    8.67873  0.2034928  0.23205871   2.6226327  0 MPO950948  4198  81 1863-2025 0.75 M-v 3Ek 0000 Diana
